app ispc icc clang gcc baseline
10  4.66065 5.12209 1.42692 1.00007 1
20  6.64682 1.04833 0.990788 0.9796 1
30  3.80416 4.27571 1.43592 3.46084 1
40  0.231715 0.515487 0.547496 0.983155 1
50  1.02912 2.35378 1.43326 0.752229 1
60  0.905241 1.72573 1.09452 1.03311 1
70  1.62216 2.79393 1.4466 1.13413 1
